"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"05C6739C/161/0";"The document can&apos;t be inserted into itself. Please choose another document.";"文档无法插入其自身。请选择其它文档。";;
"05C6739C/248/0";"Choose file";"选择文件";;
"05C6739C/162/0";"The current file have no permission to split.";"没有权限对当前文档进行拆分。";;
"05C6739C/163/0";"Don&apos;t Show Again";"不再显示";;
"05C6739C/249/0";"There is no page numbered &apos;%s&apos; in this document.";"该文档中不存在页码为&quot;%s&quot;的页面。";;
"05C6739C/164/0";"Date";"日期";;
"05C6739C/165/0";"File name is too long. Please try saving with a shorter file name.";"文件名太长，请使用一个较短的文件名进行保存。";;
"05C6739C/166/0";"Name";"名称";;
"05C6739C/167/0";"The file &quot;%ls&quot; may be read-only, or in use by other applications.";"“%ls”文件可能为只读，或者被其它应用程序占用。";;
"05C6739C/168/0";"&quot;%ls&quot; contains attachments. Attachments will not be copied into the newly created files.";"“%ls”包含附件。附件不会被复制到新创建的文件。";;
"05C6739C/169/0";"Current settings would require overwriting existing files. Please allow overwriting existing files, or change other settings.";"当前设置需要重写已经存在的文件。请允许重写已经存在的文件，或者修改其它设置。";;
"05C6739C/170/0";"The files you selected include PDF Portfolio(s), PDF Portfolio(s) cannot be added. ";"您选择的文件包含一个或多个文件包，文件包无法添加到列表中。 ";;
"05C6739C/171/0";"None";"无";;
"05C6739C/172/0";"The file &quot;%ls%[1]&quot; is already open by %ls%[2].";"文件&quot;%ls%[1]&quot;已被%ls%[2]打开。";;
"05C6739C/173/0";"Page size may not be reduced.";"页面尺寸不可以进行缩小。";;
"05C6739C/174/0";"Part";"部分";;
"05C6739C/254/0";"Percent";"百分比";;
"05C6739C/175/0";"There is already a file with the same name in destination location, and the file is opened in %ls.";"在目标位置已经存在了一个同名文件且该文件已经被%ls打开。";;
"05C6739C/176/0";"Do you want to rename &quot;%ls%[1]&quot; to &quot;%ls%[2]&quot;?";"您想要将&quot;%ls%[1]&quot;重命名为&quot;%ls%[2]&quot;吗？";;
"05C6739C/177/0";"Reverse the page order of the document";"反转文档的页面顺序";;
"05C6739C/178/0";"The page range should contain at least 2 pages.";"页面范围至少应该包含2页。";;
"05C6739C/179/0";"Reverse Pages";"逆页序";;
"05C6739C/180/0";"Reverse";"逆页序";;
"05C6739C/181/0";"Reverse Page Order";"逆页序";;
"05C6739C/182/0";"Scan";"扫描";;
"05C6739C/183/0";"Scan paper document to create PDFs";"扫描纸质文档创建PDF";;
"05C6739C/184/0";"Please select a folder ......";"请选择文件夹 ......";;
"05C6739C/185/0";"At least one of the documents in this list is secured. The new document will not contain these security settings. Select OK to continue.";"当前列表中至少有一个文件是被加密的。新的文档\n将不包含这些安全设置。点击确定继续。";;
"05C6739C/186/0";"Security settings will be removed if the document is split.";"文档拆分后，安全设置将被移除。";;
"05C6739C/187/0";"To use logical page number, enclose the page number in quotes. Example: &quot;A&quot;. If the logical page numbers include quote or backslash symbols, add a &apos;\\&apos; before the quote or backslash. Example, from page \\5 to page &quot;12&quot; :";"使用逻辑页码，并用双引号将其框起来。 例如： &quot;A&quot;。如果逻辑页码中包含双引号或者反斜线符号，需要在双引号或者反斜线符号前添加&apos;\\&apos;。例如，从页面 \\5 到页面 &quot;12&quot;：";;
"05C6739C/188/0";"The page range should be continuous, such as 1-2,3-4,5.";"页面范围应该连续，比如 1-2,3-4,5。";;
"05C6739C/189/0";"Page Range";"页面范围";;
"05C6739C/190/0";"Total %d Files";"共 %d 个文件";;
"05C6739C/191/0";"You don&apos;t have sufficient permissions to access the document.";"您没有足够的权限来操作文档。";;
"05C6739C/250/0";"There are more than one page that display the same page number you entered.";"有多个页面显示您输入的相同页码。";;
"05C6739C/192/0";"&amp;Insert Pages";"插入页面(&amp;I)";;
"05C6739C/193/0";"Please select two different pages.";"请选择两个不同的页面。";;
"05C6739C/194/0";"The file &quot;%ls&quot; already exists. Do you want to overwrite it?";"文件“%ls”已存在。您是否想替换它？";;
"05C6739C/195/0";"Open PDF Files";"打开PDF文件";;
"05C6739C/196/0";"Crop Pages";"裁剪页面";;
"05C6739C/197/0";"Delete Pages";"删除页面";;
"05C6739C/198/0";"Duplicate Pages";"复制页面";;
"05C6739C/199/0";"Extract Pages";"提取页面";;
"05C6739C/200/0";"Insert Pages";"插入页面";;
"05C6739C/201/0";"Left";"左";;
"05C6739C/202/0";"Move Pages";"移动页面";;
"05C6739C/203/0";"Multi-page rotate";"多页旋转";;
"05C6739C/204/0";"Replace Pages";"替换页面";;
"05C6739C/251/0";"Resize Pages";"调整页面大小";;
"05C6739C/276/0";"Multiple files";"多个文件";;
"05C6739C/275/0";"Current file";"当前文件";;
"05C6739C/205/0";"Right";"右";;
"05C6739C/206/0";"Rotate Pages";"旋转页面";;
"05C6739C/208/0";"Swap Two Pages";"交换页面";;
"05C6739C/209/0";"Crop page margins; drag a box to set new margins, double-click to open options and confirm";"裁剪页面边距；拖拽一个框来设置新的边距，双击以打开进行操作，然后确定";;
"05C6739C/210/0";"Delete specified pages";"删除指定页";;
"05C6739C/211/0";"Copy selected pages";"复制选择的页面";;
"05C6739C/212/0";"Extract specified pages and save as another PDF file";"导出指定页并另存为其它PDF文件";;
"05C6739C/213/0";"Insert pages into the current file or insert pages of the current file into other files";"在当前文件中插入页面或者将当前文件的页面插入到其它文件中";;
"05C6739C/214/0";"Insert one or more blank pages";"插入一个或者多个空白页";;
"05C6739C/215/0";"Insert page from clipboard ";"从剪贴板插入页面";;
"05C6739C/216/0";"Insert pages from another file";"从其它文件中插入页面";;
"05C6739C/217/0";"Insert all pages of the folder to PDF files";"插入文件夹中的所有页面至PDF文件";;
"05C6739C/218/0";"Insert pages from open files";"从打开的文件插入页面";;
"05C6739C/219/0";"Scan and insert pages";"扫描后插入页面";;
"05C6739C/220/0";"Insert pages from web";"从网页插入页面";;
"05C6739C/221/0";"Insert pages of the current file into other files";"将当前文件的页面插入到其它文件中";;
"05C6739C/222/0";"Move specified pages to another position";"移动指定页到另一个位置";;
"05C6739C/223/0";"Replace specified pages with pages from another PDF file";"使用其它PDF文件中的页面替换指定的页面";;
"05C6739C/252/0";"Set the page size of the specified pages";"设置选定页面的尺寸";;
"05C6739C/278/0";"Select multiple files for batch page size setting";"选择多个文件进行批量页面大小设置";;
"05C6739C/224/0";"Rotate multiple pages one time";"同时旋转多个页面";;
"05C6739C/225/0";"Split documents by page or area";"按页面或区域拆分文档";;
"05C6739C/271/0";"Split the document into multiple files";"将文档拆分成多个文件";;
"05C6739C/272/0";"Split the page into multiple pages";"将页面拆分为多个页面";;
"05C6739C/226/0";"Exchange the positions of two pages";"交换两个页面的位置";;
"05C6739C/227/0";"Undoing &quot;%ls&quot;";"正在撤销&quot;%ls&quot;";;
"05C6739C/261/0";"Undoing &quot;Move Pages&quot;";"正在撤销&quot;移动页面&quot;";;
"05C6739C/273/0";"Undoing resize page...";"正在撤销重置页面...";;
"05C6739C/284/0";"After extracting pages from a signed document, the digital signature in any generated document will be invalidated.";"从已签名的文档中提取页面后，任何生成文档中的数字签名都将失效。";;
"05C6739C/285/0";"After inserting pages from a signed document, the digital signature in any generated document will be invalidated.";"插入已签名文档中的页面后，任何生成文档中的数字签名都将失效。";;
"05C6739C/292/0";"After爎eplacing爌ages爁rom燼爏igned燿ocument,爐he燿igital爏ignature爄n燼ny爂enerated燿ocument爓ill燽e爄nvalidated.";"在替换已签名文件的页面后，任何生成文档中的数字签名都将失效。";;
"05C6739C/286/0";"After splitting a signed document, the digital signature in any generated document will be invalidated.";"拆分已签名的文档后，任何生成文档中的数字签名都将失效。";;
"05C6739C/228/0";"The operation is canceled by user.";"操作被用户取消。";;
"05C6739C/229/0";"You cannot delete all pages. At least one page must remain.";"您不能删除全部的页面。至少要留下1页。";;
"05C6739C/230/0";"This operation has no effect.";"该操作无效。";;
"05C6739C/231/0";"No page is selected. Please select appropriate options.";"未选择任何页面。请选择合适的选项。";;
"05C6739C/282/0";"Page is out of range.";"页码超出了范围。";;
"05C6739C/232/0";"An error occurred while using %ls printer.";"使用%ls打印机时出现错误。";;
"05C6739C/233/0";"%d%[1] files could not be converted due to a %ls%[2] printer error.";"由于%ls%[2]打印机错误，%d%[1]个文件无法进行转换。";;
"05C6739C/234/0";"Yes to All";"全部同意";;
"00C02874/5/0";"Add Class";"添加类";;
"00C02874/33/0";"Choose existing class or type the name of a new class.";"选择存在的类或者输入一个新的类名。";;
"00C02874/1/0";"Add Key and Value";"添加关键字和数据";;
"00C02874/3/0";"Value &amp;Type:";"数据类型(&amp;T)：";;
"00C02874/2/0";"&amp;Value:";"数据(&amp;V)：";;
"00C02874/4/0";"&amp;Key:";"关键字(&amp;K)：";;
"00C02874/6/0";"Add Role";"添加角色";;
"00C02874/24/0";"&amp;New Role Name:";"新角色名称(&amp;N):";;
"00C02874/7/0";"&amp;Map to This Role:";"映射到本角色(&M):";;
"00C02874/102/0";"Associated Files Tags";"关联文件的标签";;
"00C02874/145/0";"&amp;New";"新建(&amp;N)";;
"00C02874/53/0";"&amp;Edit";"编辑(&amp;E)";;
"00C02874/23/0";"&amp;Delete";"删除(&amp;D)";;
"00C02874/148/0";"&amp;Save as";"另存为(&amp;S)";;
"00C02874/19/0";"Dialog";"Dialog";;
"00C02874/149/0";"&amp;Relationship:";"关系(&amp;R)：";;
"00C02874/150/0";"&amp;Source:";"源文件(&amp;S)：";;
"00C02874/151/0";"&amp;Browse...";"浏览(&amp;B)...";;
"00C02874/152/0";"&amp;Path:";"路径(&amp;P)：";;
"00C02874/21/0";"&amp;Media Type:";"媒体类型(&amp;M)：";;
"00C02874/153/0";"&amp;Description:";"描述(&amp;D)：";;
"00C02874/8/0";"Change Value";"更改数据";;
"00C02874/9/0";"Create Artifact";"创建伪像";;
"00C02874/10/0";"Artifact Type:";"伪像类型：";;
"00C02874/11/0";"Pa&amp;gination";"分页(&amp;G)";;
"00C02874/12/0";"&amp;Page";"页面(&amp;P)";;
"00C02874/13/0";"La&amp;yout";"布局(&amp;Y)";;
"00C02874/14/0";"Attach to Side(s):";"添加至侧面：";;
"00C02874/15/0";"&amp;Left";"左(&amp;L)";;
"00C02874/16/0";"&amp;Top";"顶部(&amp;T)";;
"00C02874/17/0";"&amp;Right";"右(&amp;R)";;
"00C02874/18/0";"&amp;Bottom";"底部(&amp;B)";;
"00C02874/20/0";"Path:";"路径：";;
"00C02874/93/0";"Type:";"类型：";;
"00C02874/22/0";"&amp;Change Item";"更改条目(&amp;C)";;
"00C02874/154/0";"&amp;Delete Item";"删除条目(&amp;D)";;
"00C02874/155/0";"&amp;New Item";"新建条目(&amp;N)";;
"00C02874/25/0";"O&amp;ptions";"选项(&amp;P)";;
"00C02874/26/0";"Find Element";"查找元素";;
"00C02874/27/0";"Search &amp;Page";"查找页面(&amp;P)";;
"00C02874/28/0";"F&amp;ind:";"查找(&amp;I)：";;
"00C02874/29/0";"Search &amp;Document";"搜索文档(&amp;D)";;
"00C02874/30/0";"&amp;Find Next";"查找下一个(&amp;F)";;
"00C02874/31/0";"&amp;Tag Element";"标签元素(&amp;T)";;
"00C02874/32/0";"&amp;Close";"关闭(&amp;C)";;
"00C02874/47/0";"New Tag";"新标签";;
"00C02874/34/0";"&amp;Title:";"标题(&amp;T)：";;
"00C02874/35/0";"T&amp;ype:";"类型(&amp;Y)：";;
"00C02874/36/0";"Alternate Text";"替代文本";;
"00C02874/37/0";"Alternate Text:";"替代文本：";;
"00C02874/146/0";"&amp;OK";"确定(&amp;O)";;
"00C02874/39/0";"Don&apos;t Add &amp;Alt-Text";"不添加替代文本(&amp;A)";;
"00C02874/40/0";"Object Properties";"对象属性";;
"00C02874/41/0";"Content";"内容";;
"00C02874/42/0";"Expansion T&amp;ext:";"扩展文本(&amp;E)：";;
"00C02874/43/0";"&amp;Container Tag:";"容器标签(&amp;C)：";;
"00C02874/44/0";"Structure Tag:";"结构标记：";;
"00C02874/45/0";"&amp;Language:";"语言(&amp;L)：";;
"00C02874/46/0";"Edit &amp;Dictionary...";"编辑字典(&amp;D)...";;
"00C02874/144/0";"Tag";"标签";;
"00C02874/48/0";"&amp;Type:";"类型(&amp;Y)：";;
"00C02874/49/0";"&amp;Actual Text:";"实际文本(&amp;A)：";;
"00C02874/50/0";"Alte&amp;rnate Text:";"替代文本(&amp;R)：";;
"00C02874/51/0";"T&amp;itle:";"标题(&amp;T)：";;
"00C02874/52/0";"I&amp;D:";"ID(&amp;D)：";;
"00C02874/156/0";"&amp;Edit tag...";"编辑标签(&amp;E)...";;
"00C02874/54/0";"Edit Attribute &amp;Objects...";"编辑属性对象(&amp;O)...";;
"00C02874/55/0";"Edit Attribute Cla&amp;sses...";"编辑属性类(&amp;S)...";;
"00C02874/111/0";"Edit Associated &amp;Files...";"编辑关联文件(&amp;F)...";;
"00C02874/56/0";"Color";"颜色";;
"00C02874/57/0";"Promote Gray to &amp;CMYK Black";"将灰度提升为CMYK黑色(&amp;C)";;
"00C02874/58/0";"Con&amp;vert Colors";"转换颜色(&amp;V)";;
"00C02874/59/0";"&amp;Preserve CMYK Primaries";"保留CMYK原色(&amp;P)";;
"00C02874/60/0";"Convert &amp;To:";"转换为(&amp;T)：";;
"00C02874/61/0";"&amp;Embed Profile";"嵌入配置文件(&amp;E)";;
"00C02874/62/0";"Rendering &amp;Intent:";"渲染方法(&I)：";;
"00C02874/63/0";"Preserve &amp;Black";"保留黑色(&amp;B)";;
"00C02874/64/0";"Color Space:";"色彩空间：";;
"00C02874/65/0";"Touch Up Reading Order";"Touch Up阅读顺序";;
"00C02874/66/0";"Draw a rectangle around the content then click one of the buttons below:";"绘制围绕内容的矩形框，并点击如下任一按钮：";;
"00C02874/67/0";"Te&amp;xt";"文本(&amp;X)";;
"00C02874/68/0";"F&amp;igure";"插图(&amp;I)";;
"00C02874/69/0";"&amp;Form Field";"表单域(&amp;F)";;
"00C02874/70/0";"Fi&amp;gure/Caption";"插图/标题(&amp;G)";;
"00C02874/71/0";"Heading &amp;1";"标题1(&amp;1)";;
"00C02874/72/0";"Heading &amp;4";"标题4(&amp;4)";;
"00C02874/73/0";"&amp;Table";"表格(&amp;T)";;
"00C02874/74/0";"Heading &amp;2";"标题2(&amp;2)";;
"00C02874/75/0";"Heading &amp;5";"标题5(&amp;5)";;
"00C02874/76/0";"C&amp;ell";"单元格(&amp;E)";;
"00C02874/77/0";"Heading &amp;3";"标题3(&amp;3)";;
"00C02874/78/0";"Heading &amp;6";"标题6(&amp;6)";;
"00C02874/79/0";"Fo&amp;rmula";"公式(&amp;R)";;
"00C02874/80/0";"Reference(&amp;q)";"引用(&amp;Q)";;
"00C02874/81/0";"Note(&amp;z)";"备注(&amp;Z)";;
"00C02874/82/0";"Bac&amp;kground/Artifact";"背景/伪像(&amp;K)";;
"00C02874/83/0";"Ta&amp;ble Editor";"表编辑器(&amp;B)";;
"00C02874/84/0";"Show &amp;page content groups";"显示页面内容组(&amp;P)";;
"00C02874/85/0";"Page co&amp;ntent order";"页面内容顺序(&amp;N)";;
"00C02874/86/0";"Structure t&amp;ypes";"结构类型(&amp;Y)";;
"00C02874/87/0";"Sho&amp;w table cells";"显示表单元格(&amp;W)";;
"00C02874/88/0";"&amp;Display like elements in a single box";"在一个块中显示类似元素(&amp;D)";;
"00C02874/89/0";"Show tab&amp;les and figures";"显示表格和插图(&amp;L)";;
"00C02874/90/0";"Clear Page Str&amp;ucture...";"清除页面结构(&amp;U)...";;
"00C02874/91/0";"Show &amp;Order Panel";"显示“顺序”面板(&amp;O)";;
"00C02874/92/0";"&amp;Help";"帮助(&amp;H)";;
"00C02874/157/0";"Type";"类型";;
"00C02874/94/0";"&amp;Data Cell";"数据单元格(&amp;D)";;
"00C02874/95/0";"&amp;Header Cell";"标题单元格(&amp;H)";;
"00C02874/96/0";"&amp;Scope:";"范围(&amp;S)：";;
"00C02874/97/0";"Attributes";"属性";;
"00C02874/98/0";"&amp;ID:";"ID(&amp;I)：";;
"00C02874/99/0";"&amp;Row Span:";"行跨距(&amp;R)：";;
"00C02874/100/0";"+";"+";;
"00C02874/101/0";"&amp;Column Span:";"列跨距(&amp;C)：";;
"00C02874/112/0";"&amp;Associated Head Cell IDs:";"关联的表头单元格ID(&amp;A)：";;
"00C02874/103/0";"-";"-";;
"00C02874/104/0";"Warning";"警告";;
"00C02874/105/0";"Conflicting values for the selected cells";"选定单元格的数值存在冲突";;
"00C02874/106/0";"Add Table Header ID";"添加表头ID";;
"00C02874/107/0";"&amp;Header ID:";"表头ID(&amp;H)：";;
"00C02874/108/0";"Table Editor Options";"表编辑器选项";;
"00C02874/109/0";"Color Options";"颜色选项";;
"00C02874/110/0";"Show cells that span &amp;multiple rows or columns";"显示跨越多行或多列的单元格(&amp;M)";;
"00C02874/113/0";"Data cell color";"数据单元格颜色";;
"00C02874/114/0";"Header cell color";"标题单元格颜色";;
"00C02874/147/0";"Border color";"边框颜色";;
"00C02874/158/0";"Selection color";"已选定的颜色";;
"00C02874/115/0";"Show cells with missing &amp;header";"显示缺少标题的单元格(&amp;H)";;
"00C02874/116/0";"Label Option";"标签选项";;
"00C02874/117/0";"Show cell &amp;type (TH or TD)";"显示单元格类型(TH或TD)(&amp;T)";;
"00C02874/118/0";"Table &amp;Summary:";"表摘要(&amp;S)：";;
"00C02874/119/0";"Accessibility Checker Options";"辅助功能检查选项";;
"00C02874/120/0";"Cate&amp;gory:";"类别(&amp;G)：";;
"00C02874/121/0";"CheckBox";"复选框";;
"00C02874/122/0";"Se&amp;lect All";"全选(&amp;L)";;
"00C02874/123/0";"Clea&amp;r All";"全部清除(&amp;R)";;
"00C02874/124/0";"Report Options";"报告选项";;
"00C02874/125/0";"Create accessi&amp;bility report";"创建辅助功能报告(&amp;B)";;
"00C02874/126/0";"Choos&amp;e...";"选择(&amp;E)...";;
"00C02874/127/0";"Attach report to &amp;document";"将报告附加到文档(&amp;D)";;
"00C02874/128/0";"Show &amp;this dialog when the Checker starts";"当检查器启动时显示该对话框(&amp;T)";;
"00C02874/129/0";"Page Range";"页面范围";;
"00C02874/130/0";"Sample: 1,5-9,12";"范例：1,5-9,12";;
"00C02874/131/0";"of";"/";;
"00C02874/132/0";"PageCount";"页数";;
"00C02874/133/0";"&amp;Pages:";"页面(&amp;P)：";;
"00C02874/134/0";"&amp;All Pages";"所有页面(&amp;A)";;
"00C02874/135/0";"&amp;Options";"选项(&amp;P)";;
"00C02874/136/0";"&amp;Start Checking";"开始检查(&amp;S)";;
"00C02874/137/0";"&amp;Cancel";"取消(&amp;C)";;
"00C02874/138/0";"Set Alternate Text";"设置替代文本";;
"00C02874/139/0";"PRE";"PRE";;
"00C02874/143/0";"NEXT";"NEXT";;
"00C02874/140/0";"Alternate text:";"替代文本：";;
"00C02874/141/0";"&amp;Decorative figure";"装饰图(&amp;D)";;
"00C02874/142/0";"Image %d of %d";"图像 %d / %d";;
"00BC44A9/1/0";"The PDFAccessibility plugin provides accessibility features to give users with disabilities (such as the visually impaired) greater access to information and technology.";"PDFAccessibility插件提供了辅助功能，使残障用户（例如视障者）能够更好地访问信息和技术。";;
"00BC44A9/2/0";"Copyright ? 2022-2026 Foxit Software Inc. All Rights Reserved.";"2022-2026 福昕软件 版权所有。";;
"00BC44A9/3/0";"To Accessible Text";"到辅助文本";;
"00BC44A9/4/0";"To Other";"到其它格式";;
"00BC44A9/5/0";"Alternate &amp;Text:";"替代文本(&amp;T)：";;
"00BC44A9/6/0";"Don&apos;t Add &amp;Alt-Text";"不添加替代文本(&amp;A)";;
"00BC44A9/7/0";"&amp;Decorative figure";"装饰图(&amp;D)";;
"00BC44A9/8/0";"Image %d of %d";"图像 %d / %d";;
"00BC44A9/9/0";"Settin&amp;gs...";"设置(&amp;G)...";;
"00BC44A9/10/0";"NEXT";"NEXT";;
"00BC44A9/11/0";"PRE";"PRE";;
"00BC44A9/12/0";"&amp;View Result";"查看结果(&amp;V)";;
"00BC44A9/13/0";"More Colors...";"更多颜色...";;
"00BC44A9/14/0";"No color";"无颜色";;
"00BC44A9/15/0";"Document/Page/Container/Path/Annotation/Annotations/Text/XObject: Image/Text Run/Form XObject/Shading";"文档/页面/容器/路径/标注/标注/文本/XObject：图像/运行文本/表单XObject/渐变";;
"00BC44A9/16/0";"Processing page %d%[1] of %d%[2]";"正在处理页面 %d%[1] / %d%[2]";;
"00BC44A9/17/0";"Export Selection As";"导出选择";;
"00BC44A9/18/0";"Can not write to the file. It might be used by another application. \nClick OK to choose another path, or click Cancel to end the operation.";"无法写入文件。它可能正被其它程序占用。\n点击“确定”选择另外一个路径，或者点击“取消”结束该操作。";;
"00BC44A9/19/0";"The image you&apos;re exporting is larger than %dMB. Do you really want to continue?";"您正在导出的图像大于%dMB。您确定要继续？";;
"00BC44A9/20/0";"Auto Generate Header Cell &amp;IDs";"自动生成标题单元格ID(&amp;I)";;
"00BC44A9/21/0";"Table Cell &amp;Properties...";"表单元格属性(&amp;P)...";;
"00BC44A9/22/0";"Table Editor &amp;Options...";"表编辑器选项(&amp;O)...";;
"00BC44A9/23/0";"Format: ";"格式： ";;
"00BC44A9/24/0";"Export";"导出";;
"00BC44A9/25/0";"To XML 1.0";"到XML 1.0";;
"00BC44A9/26/0";"Export the document as a .txt file with accessible text";"将文档导出为一个包含辅助文本的.txt文件";;
"00BC44A9/27/0";"Export the document as a .xml file with XML 1.0.";"将文档导出为XML 1.0标准的.xml文件";;
"00BC44A9/28/0";"The PDF document must be saved before operation.\nDo you want to save changes and continue?";"PDF文档在执行操作之前必须先进行保存。您是否想保存并继续？";;
"00BC44A9/29/0";"&amp;Save &amp;&amp; Close";"保存后关闭(&amp;S)";;
"00BC44A9/30/0";"Please enter a valid range.";"请输入一个有效范围。";;
"00BC44A9/31/0";"Input value is beyond the scope.";"输入的数据超出了范围。";;
"00BC44A9/32/0";"Touch up Reading Order";"Touch up阅读顺序";;
"00BC44A9/33/0";"Order";"顺序";;
"00BC44A9/34/0";"View, reorder and retag structured PDF information";"查看，重排序和重新标记PDF结构化信息";;
"00BC44A9/35/0";"Shading";"渐变";;
"00BC44A9/36/0";"Approved comment";"已接受的注释";;
"00BC44A9/37/0";"Area Measurement comment";"面积测量注释";;
"00BC44A9/38/0";"Arrow comment";"箭头注释";;
"00BC44A9/39/0";"blank";"空白";;
"00BC44A9/40/0";"Callout comment";"弹出框注释";;
"00BC44A9/41/0";"CheckBox";"复选框";;
"00BC44A9/42/0";"Checked";"已选中";;
"00BC44A9/43/0";"Cloud comment";"云注释";;
"00BC44A9/44/0";"ComboBox";"组合框";;
"00BC44A9/45/0";"Distance Measurement comment";"距离测量注释";;
"00BC44A9/46/0";"Exporting the text ";"正在导出文本 ";;
"00BC44A9/47/0";"Accessible Text(*.txt)|*.txt";"辅助文本 (*.txt)|*.txt";;
"00BC44A9/48/0";"File Attachment comment";"文本附件注释";;
"00BC44A9/49/0";"Highlight comment";"高亮注释";;
"00BC44A9/50/0";"Signer&apos;s identity unknown";"签署者的身份未知";;
"00BC44A9/51/0";"Insert Text comment";"插入文本注释";;
"00BC44A9/52/0";"this is File";"这是文件";;
"00BC44A9/53/0";"Line comment";"线条注释";;
"00BC44A9/54/0";"ListBox";"列表框";;
"00BC44A9/55/0";"Location";"位置";;
"00BC44A9/56/0";"Multimedia";"多媒体";;
"00BC44A9/57/0";"Note comment";"备注注释";;
"00BC44A9/58/0";"Oval comment";"椭圆注释";;
"00BC44A9/59/0";"parsing the document";"正在解析文档";;
"00BC44A9/60/0";"Pencil comment";"铅笔注释";;
"00BC44A9/61/0";"Perimeter Measurement comment";"周长测量注释";;
"00BC44A9/62/0";"Polygon comment";"多边形注释";;
"00BC44A9/63/0";"PushButton";"按钮";;
"00BC44A9/64/0";"RadioButton";"单选框";;
"00BC44A9/65/0";"Reason";"原因";;
"00BC44A9/66/0";"Rectangle comment";"矩形框注释";;
"00BC44A9/67/0";"Replace comment";"替换文本注释";;
"00BC44A9/68/0";"RichText";"富文本";;
"00BC44A9/69/0";"Signature field is unsigned";"签名域未签署";;
"00BC44A9/70/0";"Signed by";"签署者";;
"00BC44A9/71/0";"Squiggly comment";"曲线注释";;
"00BC44A9/72/0";"Strikeout comment";"删除线注释";;
"00BC44A9/73/0";"Textbox comment";"文本框注释";;
"00BC44A9/74/0";"Time";"时间";;
"00BC44A9/75/0";"Typewriter comment";"打字机注释";;
"00BC44A9/76/0";"Unchecked";"未选中";;
"00BC44A9/77/0";"Underline comment";"下划线注释";;
"00BC44A9/78/0";"Unknown";"未知";;
"00BC44A9/79/0";"Unsigned signature field";"未签署的签名域";;
"00BC44A9/80/0";"Accessibility Report";"辅助功能报告";;
"00BC44A9/81/0";"Can not add the annotation tag to structure because the Tags Root is selected. To automatically add annotations to structure, please select any structure item other than the Tags Root.";"因为选择了标签根，无法将注释标记添加到结构中。若要自动向结构中添加注释，请选择标签根以外的其他结构项。";;
"00BC44A9/658/0";"Media Type";"介质类型";;
"00BC44A9/659/0";"Relationship";"关系";;
"00BC44A9/660/0";"Edit";"编辑";;
"00BC44A9/661/0";"New";"新建";;
"00BC44A9/677/0";"All Files";"全部文件";;
"00BC44A9/82/0";"&amp;All Pages";"所有页面(&amp;A)";;
"00BC44A9/83/0";"AltText";"替代文本";;
"00BC44A9/84/0";"Annotations";"标注";;
"00BC44A9/85/0";"3D";"3D";;
"00BC44A9/86/0";"Caret";"插入标记";;
"00BC44A9/87/0";"Circle";"圆形";;
"00BC44A9/88/0";"FileAttachment";"文件附件";;
"00BC44A9/89/0";"FreeText";"自由文本";;
"00BC44A9/90/0";"Highlight";"高亮";;
"00BC44A9/91/0";"Ink";"墨迹";;
"00BC44A9/92/0";"Line";"线条";;
"00BC44A9/93/0";"Link";"链接";;
"00BC44A9/94/0";"Movie";"视频";;
"00BC44A9/95/0";"Polygon";"多边形";;
"00BC44A9/96/0";"PolyLine";"折线";;
"00BC44A9/97/0";"PrinterMark";"打印标记";;
"00BC44A9/98/0";"Screen";"屏幕";;
"00BC44A9/99/0";"Sound";"声音";;
"00BC44A9/100/0";"Square";"正方形";;
"00BC44A9/101/0";"Squiggly";"波浪线";;
"00BC44A9/102/0";"Stamp";"图章";;
"00BC44A9/103/0";"StrikeOut";"删除线";;
"00BC44A9/104/0";"Text";"文本";;
"00BC44A9/105/0";"TrapNet";"TrapNet";;
"00BC44A9/106/0";"Underline";"下划线";;
"00BC44A9/107/0";"Watermark";"水印";;
"00BC44A9/108/0";"Apply the order of the areas.";"应用区域顺序";;
"00BC44A9/109/0";"Area Reading Order";"区域阅读顺序";;
"00BC44A9/110/0";"Artifacts";"项目";;
"00BC44A9/111/0";"&amp;Associated Head Cell IDs:";"关联的表头单元格ID(&amp;A)：";;
"00BC44A9/112/0";"Figures require alternate text";"插图需要替代文本";;
"00BC44A9/113/0";"Alternate text that will never be read";"替代文本不能阅读";;
"00BC44A9/114/0";"Alternate text must be associated with some content";"替代文本必须与某些内容相关联";;
"00BC44A9/115/0";"Alternate text should not hide annotation";"替代文本不应该隐藏标注";;
"00BC44A9/116/0";"Elements require alternate text";"元素需要替代文本";;
"00BC44A9/117/0";"Appropriate heading nesting";"适当的标题嵌套";;
"00BC44A9/118/0";"%ls will detect all figures in this document and display associated alternate text.";"%ls将检测到文档中的所有图形，并显示与之关联的替代文本。";;
"00BC44A9/119/0";"%ls cannot set alternate text for non-tagged PDFs. Please auto tag the document and try again.";"%ls不可以为未添加标签的PDF设置替代文本，请自动添加标签到文档后重试。";;
"00BC44A9/120/0";"Review and set alternate text for figures";"审阅并设置插图的替代文本";;
"00BC44A9/121/0";"Set Alternate Text";"设置替代文本";;
"00BC44A9/122/0";"Attach report to &amp;document";"将报告附加到文档(&amp;D)";;
"00BC44A9/123/0";"There is no figure information to display.";"没有要显示的插图信息。";;
